Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
reference_plate,0.00050140295586751,-0.00220937750942808,-0.00476768059132253,0,0,0,0.00690770093421999,2.23765892159588E-06,1.00658310536628E-09,-1.65130603814036E-08,3.53984298105267E-06,-9.57127731069088E-09,1.33383947729737E-06,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/reference_plate.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/reference_plate.STL,,referenceplate-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
torso,-2.30151070338156E-15,0.0191096478900804,-0.000877331766132126,0,0,0,0.360578160137745,0.000451442317322487,2.75765891563792E-16,-2.06259455328211E-08,0.000602964001085919,-3.70353956864519E-11,0.000200109814370711,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/torso.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/torso.STL,,ASSY_main_body-1,Origin_ref_to_torso_joint,Axis_ref_to_torso_joint,ref_to_torso_joint,continuous,0,0,0,1.5707963267949,0,1.5707963267949,reference_plate,0,1,0,,,,,,,,,,,,
LF_thigh,-0.0194026504263946,0.000962648415416018,-0.0260087497830562,0,0,0,0.0187184822855231,4.58328060295335E-06,-1.45214380627895E-12,9.54272944662849E-11,4.58328035716507E-06,8.99626362020169E-11,5.84140443768987E-06,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LF_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LF_thigh.STL,,Sym_rieCoxa-4,Origin_LF1,Axis_LF1,LF1,revolute,0.06091,0,0.12191,2.3562,0,-1.5708,torso,1,0,0,0,0,-5.236,5.236,,,,,,,,
LF_calf,0.00102679192340011,-0.0223107697760035,-0.000736289104139684,0,0,0,0.0551626378910084,1.54903467359071E-05,2.95997531578755E-07,-1.48897181529189E-09,1.05260916908926E-05,-1.91029456445053E-07,1.16899614331516E-05,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LF_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LF_calf.STL,,Sym_rieFemur-1,Origin_LF2,Axis_LF2,LF2,revolute,-0.01844,0,-0.052,1.5708,0.7854,0,LF_thigh,0,0,1,0,0,-5.236,5.236,,,,,,,,
LF_foot,0.0189834041321391,-0.0332649280290424,-0.000415814389983254,0,0,0,0.0652326466286266,1.73083837683577E-05,5.85844793814886E-06,-1.49998074541932E-09,1.87949439630519E-05,-1.91009991926181E-07,2.59541244072092E-05,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LF_foot.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LF_foot.STL,,Sym_rieTibia_md-1,Origin_LF3,Axis_LF3,LF3,revolute,0.014589,-0.06443,0,0,0,1.3658,LF_calf,0,0,1,0,0,-5.236,5.236,,,,,,,,
LM_thigh,-0.0194026522515557,0.000962652233885657,-0.0260088005599141,0,0,0,0.0187184853256138,4.5832775713649E-06,-1.61257795921829E-12,9.21329265913855E-11,4.5832775713649E-06,9.21318962015843E-11,5.84140473916601E-06,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LM_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LM_thigh.STL,,Sym_rieCoxa-5,Origin_LM1,Axis_LM1,LM1,revolute,0.1035,0,0,1.5708,0,-1.5708,torso,1,0,0,0,0,-5.236,5.236,,,,,,,,
LM_calf,0.00102679444128451,-0.0223107741231447,-0.000736290752046597,0,0,0,0.055162636292801,1.54903491476744E-05,2.95999588980334E-07,-1.48938499726855E-09,1.05260935442026E-05,-1.91028916676631E-07,1.16899658402934E-05,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LM_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LM_calf.STL,,Sym_rieFemur-2,Origin_LM2,Axis_LM2,LM2,revolute,-0.01844,0,-0.052,1.5708,0.7854,0,LM_thigh,0,0,1,0,0,-5.236,5.236,,,,,,,,
LM_foot,0.0189834134494404,-0.033264933187588,-0.000415814504580459,0,0,0,0.0652326387878093,1.73083835690446E-05,5.85844794145788E-06,-1.4999729010903E-09,1.87949440011586E-05,-1.91009992628101E-07,2.59541243064155E-05,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LM_foot.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LM_foot.STL,,Sym_rieTibia_md-2,Origin_LM3,Axis_LM3,LM3,revolute,0.014589,-0.06443,0,0,0,1.3658,LM_calf,0,0,1,0,0,-5.236,5.236,,,,,,,,
LB_thigh,-0.0194026504263946,0.000962648415415969,-0.0260087497830563,0,0,0,0.0187184822855231,4.58328060295333E-06,-1.45214380689525E-12,9.54272944654011E-11,4.58328035716506E-06,8.99626362026522E-11,5.84140443768985E-06,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LB_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LB_thigh.STL,,Sym_rieCoxa-6,Origin_LB1,Axis_LB1,LB1,revolute,0.06091,0,-0.12191,0.7854,0,-1.5708,torso,1,0,0,0,0,-5.236,5.236,,,,,,,,
LB_calf,0.00102679192339997,-0.0223107697760034,-0.000736289104140059,0,0,0,0.0551626378910084,1.54903467359071E-05,2.95997531578752E-07,-1.48897181529104E-09,1.05260916908926E-05,-1.91029456445046E-07,1.16899614331516E-05,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LB_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LB_calf.STL,,Sym_rieFemur-3,Origin_LB2,Axis_LB2,LB2,revolute,-0.01844,0,-0.052,1.5708,0.7854,0,LB_thigh,0,0,1,0,0,-5.236,5.236,,,,,,,,
LB_foot,0.0189834041321391,-0.0332649280290424,-0.000415814389983629,0,0,0,0.0652326466286265,1.73083837683577E-05,5.85844793814884E-06,-1.49998074540365E-09,1.87949439630518E-05,-1.91009991926193E-07,2.59541244072091E-05,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LB_foot.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/LB_foot.STL,,Sym_rieTibia_md-3,Origin_LB3,Axis_LB3,LB3,revolute,0.014589,-0.06443,0,0,0,1.3658,LB_calf,0,0,1,0,0,-5.236,5.236,,,,,,,,
RF_thigh,-0.0194027231911689,0.000962720771382118,0.0260087651240974,0,0,0,0.0187187999416221,4.58336747949758E-06,-1.38095725082366E-11,-1.50188775491737E-10,4.58336713269771E-06,-1.46826574790879E-10,5.84152341451725E-06,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RF_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RF_thigh.STL,,Coxa-4,Origin_RF1,Axis_RF1,RF1,revolute,-0.06091,0,0.12191,0.7854,0,-1.5708,torso,1,0,0,0,0,-5.236,5.236,,,,,,,,
RF_calf,0.00102680024360452,-0.0223108610345546,0.000736290423570971,0,0,0,0.0551628381598268,1.54904289071492E-05,2.96004655684944E-07,1.4604886624265E-09,1.05261447920822E-05,1.91036737859883E-07,1.16899750550889E-05,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RF_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RF_calf.STL,,Femur-4,Origin_RF2,Axis_RF2,RF2,revolute,-0.01844,0,0.052,-1.5708,-0.7854,0,RF_thigh,0,0,1,0,0,-5.236,5.236,,,,,,,,
RF_foot,0.018373389650663,-0.0328919722792271,0.000415796603429955,0,0,0,0.0652327270508921,1.73083949891202E-05,5.85844817413531E-06,1.50084219603285E-09,1.8794961357601E-05,1.91005450888028E-07,2.59541152159503E-05,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RF_foot.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RF_foot.STL,,Tibia_md-1,Origin_RF3,Axis_RF3,RF3,revolute,0.014589,-0.06443,0,0,0,1.3658,RF_calf,0,0,1,0,0,-5.236,5.236,,,,,,,,
RM_thigh,-0.0194027237249261,0.00096272374256581,0.0260088003580916,0,0,0,0.0187188019506362,4.58336504964393E-06,-1.38919554687681E-11,-1.48345216924498E-10,4.58336504964393E-06,-1.48346245087308E-10,5.84152380154398E-06,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RM_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RM_thigh.STL,,Coxa-5,Origin_RM1,Axis_RM1,RM1,revolute,-0.1035,0,0,1.5708,0,-1.5708,torso,1,0,0,0,0,-5.236,5.236,,,,,,,,
RM_calf,0.00102680218372297,-0.0223108633657772,0.000736291324398924,0,0,0,0.0551628383199495,1.54904303401299E-05,2.96006272123672E-07,1.46127435683613E-09,1.05261466940388E-05,1.91035908075712E-07,1.16899783369022E-05,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RM_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RM_calf.STL,,Femur-5,Origin_RM2,Axis_RM2,RM2,revolute,-0.01844,0,0.052,-1.5708,-0.7854,0,RM_thigh,0,0,1,0,0,-5.236,5.236,,,,,,,,
RM_foot,0.0183733977645456,-0.0328919764830271,0.000415796418803333,0,0,0,0.0652327208733654,1.73083948003673E-05,5.85844817760194E-06,1.50083690920487E-09,1.87949614300931E-05,1.910054381263E-07,2.59541150881639E-05,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RM_foot.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RM_foot.STL,,Tibia_md-2,Origin_RM3,Axis_RM3,RM3,revolute,0.014589,-0.06443,0,0,0,1.3658,RM_calf,0,0,1,0,0,-5.236,5.236,,,,,,,,
RB_thigh,-0.0194027231911689,0.00096272077138216,0.0260087651240974,0,0,0,0.018718799941622,4.58336747949757E-06,-1.38095725086186E-11,-1.50188775489242E-10,4.5833671326977E-06,-1.46826574781985E-10,5.84152341451724E-06,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RB_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RB_thigh.STL,,Coxa-6,Origin_RB1,Axis_RB1,RB1,revolute,-0.06091,0,-0.12191,2.3562,0,-1.5708,torso,1,0,0,0,0,-5.236,5.236,,,,,,,,
RB_calf,0.00102680024360452,-0.0223108610345546,0.000736290423570957,0,0,0,0.0551628381598268,1.54904289071492E-05,2.96004655684952E-07,1.46048866241718E-09,1.05261447920822E-05,1.91036737859886E-07,1.16899750550889E-05,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RB_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RB_calf.STL,,Femur-6,Origin_RB2,Axis_RB2,RB2,revolute,-0.01844,0,0.052,-1.5708,-0.7854,0,RB_thigh,0,0,1,0,0,-5.236,5.236,,,,,,,,
RB_foot,0.0183733896506632,-0.032891972279227,0.000415796603430107,0,0,0,0.0652327270508919,1.73083949891201E-05,5.8584481741353E-06,1.50084219601421E-09,1.87949613576009E-05,1.91005450888034E-07,2.59541152159502E-05,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RB_foot.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASSY_phantom_urdf/meshes/RB_foot.STL,,Tibia_md-3,Origin_RB3,Axis_RB3,RB3,revolute,0.014589,-0.06443,0,0,0,1.3658,RB_calf,0,0,1,0,0,-5.236,5.236,,,,,,,,
